Class,Super-Category,Category ,Description,Test URL
Legal Liability,Militancy/Hate and Extremism,Militancy/Hate and Extremism,"Sites that promote divisive rhetoric or action, describe certain populations as dangerous or evil, or promote intolerance of individuals or groups.",www.zscaler.com/url-categorization/Militancy_Hate-and-Extremism
Legal Liability,Adult Material,Nudity,"Sites that provide either artistic or non-artistic nude images in any medium (sculpture, photographs, paintings, and so on).",www.zscaler.com/url-categorization/Nudity
Legal Liability,Adult Material,Other Adult Material,Other sites related to adult material that are not in the defined categories.    ,www.zscaler.com/url-categorization/Other-Adult-Material
Legal Liability,Drugs,Other Drugs,"Sites associated with the use or advocacy of illegal drugs or the illegal use of prescribed drugs, except those sites related to Marijuana.",www.zscaler.com/url-categorization/Other-Drugs
Legal Liability,Illegal or Questionable,Other Illegal or Questionable,Other sites related to illegal or questionable activities that are not classified in the defined categories. ,www.zscaler.com/url-categorization/Other-Illegal-or-Questionable
Legal Liability,Adult Material,Pornography,"Sites related to soft- and/or hard-core pornography, regardless of medium (written, images, movies, and so on).",www.zscaler.com/url-categorization/Pornography
Legal Liability,Illegal or Questionable,Profanity,"Sites that contain generally acknowledged profanity but do not fall under a more specific category such as ""Pornography.""",www.zscaler.com/url-categorization/Profanity
Legal Liability,Illegal or Questionable,Questionable,Sites that are generally related to illegal activities but do not fall under a more specific category.,www.zscaler.com/url-categorization/Questionable
Legal Liability,Adult Material,Social Networking Adult,"Sites that provide social networking for adults, such as dating sites.",www.zscaler.com/url-categorization/Social-Networking-Adult
Legal Liability,Tasteless,Tasteless,Sites that contain crude or offensive content. ,www.zscaler.com/url-categorization/Tasteless
Legal Liability,Violence,Violence,"Sites that depict, promote, or feature violence.",www.zscaler.com/url-categorization/Violence
Legal Liability,Weapons/Bombs,Weapons/Bombs,"Sites that promote the use, making, or distribution of weapons.",www.zscaler.com/url-categorization/Weapons_Bombs
Privacy Risk,Security,Custom Encrypted Content,Sites that use custom encryption for protecting users’ data. Zscaler can inspect the HTTP headers of such sites but not the body content. ,www.zscaler.com/url-categorization/Custom-Encrypted-Content
Privacy Risk,Security,Dynamic DNS Host,Sites that dynamically update the IP address of the hostname and provide DNS resolution. This category includes DNS server URLs that support Dynamic DNS resolution.,www.zscaler.com/url-categorization/Dynamic-DNS-Host
Privacy Risk,Security,Newly Revived Domains,Sites whose domains were reactivated after a brief period of inactivity for about 10 days. Some of these websites were once active with a legitimate reputation.,www.zscaler.com/url-categorization/Newly-Revived-Domains
Privacy Risk,Security,Other Security,Other sites related to security that are not included in the defined categories.,www.zscaler.com/url-categorization/Other-Security
Privacy Risk,Security,Spyware/Adware,Sites that are known to distribute or contain code that displays unwanted advertisements or that gathers user information without the user’s knowledge.,www.zscaler.com/url-categorization/Adware_Spyware-Sites
Productivity Loss,Society and Lifestyle,Alcohol/Tobacco,"Sites related to the use of alcohol and tobacco products, excluding those that inform on the hazards of alcohol and tobacco.",www.zscaler.com/url-categorization/Alcohol_Tobacco
Productivity Loss,Religion,Alt/New Age,"Sites related to nontraditional or nonreligious spiritual belief systems, or related to the practice or advocacy of affecting events through supernatural means.",www.zscaler.com/url-categorization/Alt_New-Age
Productivity Loss,Society and Lifestyle,Art/Culture,"Sites related to the mores, activities, organizations, and collective behavior of peoples that define various cultures around the world.",www.zscaler.com/url-categorization/Art_Culture
Productivity Loss,Religion,Cult,"Sites related to groups or movements whose membership is marked by zeal, passion, and obedience to a degree generally considered excessive by the mainstream. ",www.zscaler.com/url-categorization/Cult
Productivity Loss,Society and Lifestyle,Dining/Restaurant,"Sites that list, discuss, review, advertise, or promote dining and restaurants.",www.zscaler.com/url-categorization/Dining_Restaurant
Productivity Loss,Social and Family Issues,Family Issues,"Sites related to issues specific to the family such as divorce, adoption, infertility, domestic violence, and so on.",www.zscaler.com/url-categorization/Family-Issues
Productivity Loss,Health,Health,Sites related to an individual’s physical and mental well-being.,www.zscaler.com/url-categorization/Health
Productivity Loss,Society and Lifestyle,Hobbies/Leisure,"Sites related to hobbies and leisure, or pursuits or interests engaged in for pleasure and relaxation.",www.zscaler.com/url-categorization/Hobbies_Leisure
Productivity Loss,Society and Lifestyle,Lifestyle,Sites related to lifestyle activities such as parties and so on for all orientations.,www.zscaler.com/url-categorization/Lifestyle
Productivity Loss,Games,Online and Other Games,Sites related to online games and other websites related to games that are not included in the defined categories.,www.zscaler.com/url-categorization/Online-and-Other-Games
Productivity Loss,Shopping and Auctions,Online Auctions,Sites that offer participation in online auctions or support the offer and purchase of goods between individuals.,www.zscaler.com/url-categorization/Online-Auctions
Productivity Loss,Shopping and Auctions,Online Shopping,"Sites that provide, or advertise ways to purchase products or services over the Internet or by telephone. ",www.zscaler.com/url-categorization/Online-Shopping
Productivity Loss,Religion,Other Religion,Other sites related to religion that is not classified in the defined categories.,www.zscaler.com/url-categorization/Other-Religion
Productivity Loss,Shopping and Auctions,Other Shopping and Auctions,Other sites related to shopping and auctions that are not included in the defined categories. ,www.zscaler.com/url-categorization/Other-Shopping-and-Auctions
Productivity Loss,Social and Family Issues,Other Social and Family Issues,Other sites related to social and family issues that are not classified in the defined categories.,www.zscaler.com/url-categorization/Other-Social-and-Family-Issues
Productivity Loss,Society and Lifestyle,Other Society and Lifestyle,Other sites related to society and lifestyle that are not included in the defined categories.,www.zscaler.com/url-categorization/Other-Society-and-Lifestyle
Productivity Loss,Shopping and Auctions,Real Estate,"Sites that offer information or services related to buying, selling, renting, or financing property.",www.zscaler.com/url-categorization/Real-Estate
Productivity Loss,Social and Family Issues,Social Issues,"Sites related to issues generally considered to engender controversies, such as abortion, euthanasia, legalization of drugs, and so on. ",www.zscaler.com/url-categorization/Social-Issues
Productivity Loss,Society and Lifestyle,Social Networking,"Sites that enable the creation of online communities or the facilitation of personal introductions, dating, and networking.",www.zscaler.com/url-categorization/Social-Networking
Productivity Loss,Games,Social Networking Games,Sites that reside on social networking sites and contain material that would otherwise merit categorization into the Games category.,www.zscaler.com/url-categorization/Social-Networking-Games
Productivity Loss,Special Interests/Social Organizations,Special Interests/Social Organizations,"Sites related to charitable organizations, community or environmental interest groups, or social advocacy. ",www.zscaler.com/url-categorization/Special-Interests_Social-Organizations
Productivity Loss,Sports,Sports,Sites related to sports or recreation.,www.zscaler.com/url-categorization/Sports
Productivity Loss,Religion,Traditional Religion,"Sites related to traditionally organized religious activities, participation, and belief.",www.zscaler.com/url-categorization/Traditional-Religion
Note: The categories under the Advanced Security super-category apply only to Advanced Threat Protection policy.,,,,
Advanced Security Risk,Advanced Security,Adware/Spyware Sites,Sites that contain adware or spyware. Adware displays malicious advertisements that can collect users' information without their knowledge.,www.zscaler.com/url-categorization/Adware_Spyware-Sites
Advanced Security Risk,Advanced Security,Botnet Protection,"Sites that contain software designed to communicate periodically with a ""command and control"" center, and a master application instructs the infected computers to send spam, phishing email, or perform other malicious tasks.",www.zscaler.com/url-categorization/Botnet-Protection
Advanced Security Risk,Advanced Security,Cryptomining and Blockchain,Sites that allow cryptocurrency mining network traffic and scripts.,www.zscaler.com/url-categorization/Cryptomining-and-Blockchain
Advanced Security Risk,Advanced Security,Malicious Content,Sites that attempt to download dangerous content to your browser when you visit them. This includes vulnerable ActiveX controls and web browsers that are known to have been exploited.,www.zscaler.com/url-categorization/Malicious-Content
Advanced Security Risk,Advanced Security,Peer To Peer (P2P),"Sites that provide P2P file sharing, P2P anonymizer, and P2P VoIP.",www.zscaler.com/url-categorization/Peer-To-Peer-(P2P)
Advanced Security Risk,Advanced Security,Phishing,"Sites that mimic legitimate banking and financial sites (e.g., Citibank.com, PayPal.com, etc.). ",www.zscaler.com/url-categorization/Phishing
Advanced Security Risk,Advanced Security,Spyware Callback,Sites that gather users' information without notification and sell this information to advertisers or criminals.,www.zscaler.com/url-categorization/Spyware-Callback
Advanced Security Risk,Advanced Security,Web Spam,"Sites that pretend to contain useful information, to get higher ranking in search engine results or drive traffic to phishing, adware, or spyware distribution sites.",www.zscaler.com/url-categorization/Web-Spam
Advanced Security Risk,Advanced Security,Browser Exploit,Sites with known web browser vulnerabilities that can be exploited. This includes exploits for Internet Explorer and Adobe Flash.,
Advanced Security Risk,Advanced Security,Cross site Scripting (XSS),Sites that allow malicious users to inject their own code into it. This includes cookie stealing and potentially malicious requests.,
Advanced Security Risk,Advanced Security,Suspicious Content,"Sites that contain malicious contents such as injected scripts, vulnerable ActiveX, zero-pixel iFrames, etc.",
Advanced Security Risk,Advanced Security,Suspicious Destinations Protection,Sites that provide suspicious destinations protection. This includes requests to any country in the world based on ISO3166 mapping of countries to their IP address space. Websites are blocked based on the location of the web server. ,
Advanced Security Risk,Advanced Security,Unauthorized Communication Protection,"Sites that provide unauthorized communication protection. This includes IRC tunneling applications, SSH tunneling applications, and anonymizer sites that are used to bypass firewalls and proxies.",
